TYPE,DIMENSIONS,STOCK #,TYPE.1,TRIM,WIRE DIMENSIONS,STOCK #.1
"10-1/4"" x 5"" x 1-1/4)",WB67141,Steel Wire,"1-1/8""",3 x 19,"15/16"" x 6"" x 13-3/4",WB67194
"10-1/4"" x 5"" x 1-1/4)",WB67142,Stainless Wire,"1-1/8""",3 x 19,"15/16"" x 6"" x 13-3/4",WB67195
"10-1/4"" x 5"" x 1-1/4)",WB67143,Stainless Wire,"7/16""",3 x 7,"7/16"" x 7-1/2",WB67193
