DIA.,SHANK,OAL,HANG-UP TUBE,STOCK #
1/8,7/64,2-7/32, ,CGD61655P
1/8,7/64,2-7/32, ,CGML61655
5/32,7/64,2-1/2, ,CGD61657P
5/32,7/64,2-1/2, ,CGML61657
3/16,9/64,2-1/2, ,CGD61659P
3/16,9/64,2-1/2, ,CGML61659
1/4,11/64,2-9/16, ,CGD61663P
1/4,11/64,2-9/16, ,CGML61663
5/16,7/32,3-3/8, ,CGD61667P
5/16,7/32,3-3/8, ,CGML61667
3/8,1/4,3-1/2, ,CGD61671P
3/8,1/4,3-1/2, ,CGML61671
1/2,5/16,3-1/2, ,CGD61679P
1/2,5/16,3-1/2, ,CGML61679
