STOCK #,TyPE,SIZES,STOCK #.1,SIZE,"6"" ARM","9"" ARM"
,HK31606,HK31906,LONG ARM,"3/32""",,
,HK31607,HK31907,"7/64""",,,
,HK13213,,HE X,".050, 1/16"", 5/64"", 3/32"", 1/8""",,
,HK31608,HK31908,"7/64""",,,
,HK31609,HK31909,"9/64""",,,
,HK31610,HK31910,"5/32""",,,
,HK31612,HK31912,"3/16""",,,
,HK13609,,HE X MM,"1 .5, 2, 2 .5, 3, 4, 5, 6, 8, 10",,
,HK31614,HK31914,"7/32""",,,
,HK31616,HK31916,"1/4""",,,
,HK31620,HK31920,"5/16""",,,
,HK31624,HK31924,"3/8""",,,
