SIZE,LENGTH,HIGH-SPEED STEEL,COBALT STEEL
3/16,2-1/2,TBHS60803,TBCS60803
1/4,2-1/2,TBHS60805,TBCS60805
1/4,4,TBHS60806,TBCS60806
5/16,2-1/2,TBHS60807,TBCS60807
3/8,3,TBHS60809,TBCS60809
7/16,3-1/2,TBHS60811,TBCS60811
1/2,4,TBHS60813,TBCS60813
1/2,6,TBHS60814,TBCS60814
5/8,4-1/2,TBHS60815,TBCS60815
3/4,5,TBHS60817,TBCS60817
7/8,6,TBHS60819,TBCS60819
1,7,TBHS60821,TBCS60821
