HEAD SIZE,HEAD SIZE.1,SHAPE,STOCK #,DIA. x LENGTH,DIA. x LENGTH.1
1/4 x 1/2,1/4 x 1/2,SA-51,B71203,SA-51,1/4 x 1/2
1/4 x 3/16,1/4 x 3/16,SB-51,B71219,SB-51,1/4 x 3/16
1/4 x 1/2,1/4 x 1/2,SC-51,B71223,SC-51,1/4 x 1/2
1/4 x 7/32,1/4 x 7/32,SD-51,B71240,SD-51,1/4 x 7/32
1/4 x 3/8,1/4 x 3/8,SE-51,B71269,SE-51,1/4 x 3/8
1/4 x 1/2,1/4 x 1/2,SF-51,B71250,SF-51,1/4 x 1/2
1/4 x 1/2,1/4 x 1/2,SG-51,B71260,SG-51,1/4 x 1/2
1/4 x 1/2,1/4 x 1/2,SM-51,B71239,SM-51,1/4 x 1/2
1/4 x 1/4,1/4 x 1/4,SN-51,B71445,SN-51,1/4 x 1/4
