Bit Type,Description
"1/8"" Hex Pin",#6 Spanner
"9/64"" Hex Pin",#8 Spanner
"5/32"" Hex Pin",#10 Spanner
"3/16"" Hex Pin",#12 Spanner
,Nut Driver
