STOCK #,STEEL,NO. OF PIECES,SET INCLUDES
TDS40C,HIGH CARBON,40,"17 Plug Taps, 17 - 1"" Hexagon Dies, 1 Hexagon Die Stock 1"", B 2 T Handle Tap Wrenches:"
TDS40CM,HIGH CARBON,40,"0 to 1/4"" & 1/4"" to 1/2"", 1 Adjustable Tap Wrench 0 -1"""
TDS40H,HIGH-SPEED,40,1 Screwdriver and 1 Pitch Gauge
