DESCRIPTION,STOCK #,DESCRIPTION.1,STOCK #.1
COMPLETE KIT,COMPLETE KIT,,
"Hand Drive Magnetic Storage Handle - 8\"","",Hand Drive Magnetic Storage Handle - 8\""""",,,
"Bit Holder 1/4\ Hex Drive - 1-7/8\"" Long""",,"Bit Holder 1/4\ Hex Drive - 1-7/8\"" Long""",
"Adapter 1/4\ Sq . to 1/4\"" Hex - 1\"" Long""",,"Adapter 1/4\ Sq . to 1/4\"" Hex - 1\"" Long""",
